"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Colorado","08","45-54 years","45-54","2024 (provisional)","2024",84,714267,11.760
,"Colorado","08","45-54 years","45-54","2025 (provisional and partial)","2025",58,714267,8.120
,"Colorado","08","55-64 years","55-64","2018","2018",129,710600,18.154
,"Colorado","08","55-64 years","55-64","2019","2019",127,713013,17.812
,"Colorado","08","55-64 years","55-64","2020","2020",139,708745,19.612
,"Colorado","08","55-64 years","55-64","2021","2021",151,702219,21.503
,"Colorado","08","55-64 years","55-64","2022","2022",143,683856,20.911
,"Colorado","08","55-64 years","55-64","2023","2023",143,676625,21.134
,"Colorado","08","55-64 years","55-64","2024 (provisional)","2024",135,676625,19.952
,"Colorado","08","55-64 years","55-64","2025 (provisional and partial)","2025",88,676625,13.006
,"Colorado","08","65-74 years","65-74","2018","2018",155,500798,30.951
,"Colorado","08","65-74 years","65-74","2019","2019",154,522131,29.495
,"Colorado","08","65-74 years","65-74","2020","2020",169,543363,31.103
,"Colorado","08","65-74 years","65-74","2021","2021",195,558844,34.893
,"Colorado","08","65-74 years","65-74","2022","2022",182,560039,32.498
,"Colorado","08","65-74 years","65-74","2023","2023",193,575044,33.563
,"Colorado","08","65-74 years","65-74","2024 (provisional)","2024",193,575044,33.563
,"Colorado","08","65-74 years","65-74","2025 (provisional and partial)","2025",87,575044,15.129
,"Colorado","08","75-84 years","75-84","2018","2018",162,219067,73.950
,"Colorado","08","75-84 years","75-84","2019","2019",161,230360,69.891
,"Colorado","08","75-84 years","75-84","2020","2020",169,241734,69.912
,"Colorado","08","75-84 years","75-84","2021","2021",148,239521,61.790
,"Colorado","08","75-84 years","75-84","2022","2022",172,264472,65.035
,"Colorado","08","75-84 years","75-84","2023","2023",176,281688,62.480
,"Colorado","08","75-84 years","75-84","2024 (provisional)","2024",156,281688,55.380
,"Colorado","08","75-84 years","75-84","2025 (provisional and partial)","2025",97,281688,34.435
,"Colorado","08","85+ years","85+","2018","2018",134,88364,151.645
,"Colorado","08","85+ years","85+","2019","2019",141,89921,156.804
,"Colorado","08","85+ years","85+","2020","2020",140,91290,153.357
,"Colorado","08","85+ years","85+","2021","2021",166,81288,204.212
,"Colorado","08","85+ years","85+","2022","2022",114,89527,127.336
,"Colorado","08","85+ years","85+","2023","2023",119,86283,137.918
,"Colorado","08","85+ years","85+","2024 (provisional)","2024",134,86283,155.303
,"Colorado","08","85+ years","85+","2025 (provisional and partial)","2025",70,86283,81.128
,"Colorado","08","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Idaho","16","< 1 year","1","2018","2018",0,22348,Unreliable
,"Idaho","16","< 1 year","1","2019","2019",0,22106,Unreliable
,"Idaho","16","< 1 year","1","2020","2020",0,21547,Unreliable
,"Idaho","16","< 1 year","1","2021","2021",0,21203,Unreliable
,"Idaho","16","< 1 year","1","2022","2022",0,22368,Unreliable
,"Idaho","16","< 1 year","1","2023","2023",0,22331,Unreliable
,"Idaho","16","< 1 year","1","2024 (provisional)","2024",0,22331,Unreliable
,"Idaho","16","< 1 year","1","2025 (provisional and partial)","2025",0,22331,Unreliable
,"Idaho","16","1-4 years","1-4","2018","2018",0,93991,Unreliable
,"Idaho","16","1-4 years","1-4","2019","2019",0,94094,Unreliable
,"Idaho","16","1-4 years","1-4","2020","2020",0,92301,Unreliable
,"Idaho","16","1-4 years","1-4","2021","2021",0,93121,Unreliable
,"Idaho","16","1-4 years","1-4","2022","2022",0,90915,Unreliable
,"Idaho","16","1-4 years","1-4","2023","2023",0,91052,Unreliable
,"Idaho","16","1-4 years","1-4","2024 (provisional)","2024",0,91052,Unreliable
,"Idaho","16","1-4 years","1-4","2025 (provisional and partial)","2025",0,91052,Unreliable
,"Idaho","16","5-14 years","5-14","2018","2018",0,254001,Unreliable
,"Idaho","16","5-14 years","5-14","2019","2019",0,254788,Unreliable
,"Idaho","16","5-14 years","5-14","2020","2020",0,257827,Unreliable
,"Idaho","16","5-14 years","5-14","2021","2021",0,269948,Unreliable
,"Idaho","16","5-14 years","5-14","2022","2022",0,264735,Unreliable
,"Idaho","16","5-14 years","5-14","2023","2023",0,265565,Unreliable
,"Idaho","16","5-14 years","5-14","2024 (provisional)","2024",0,265565,Unreliable
,"Idaho","16","5-14 years","5-14","2025 (provisional and partial)","2025",0,265565,Unreliable
,"Idaho","16","15-24 years","15-24","2018","2018",0,239400,Unreliable
,"Idaho","16","15-24 years","15-24","2019","2019",0,241619,Unreliable
,"Idaho","16","15-24 years","15-24","2020","2020",0,247113,Unreliable
,"Idaho","16","15-24 years","15-24","2021","2021",0,258343,Unreliable
,"Idaho","16","15-24 years","15-24","2022","2022",0,281317,Unreliable
,"Idaho","16","15-24 years","15-24","2023","2023",0,282067,Unreliable
,"Idaho","16","15-24 years","15-24","2024 (provisional)","2024",0,282067,Unreliable
,"Idaho","16","15-24 years","15-24","2025 (provisional and partial)","2025",0,282067,Unreliable
,"Idaho","16","25-34 years","25-34","2018","2018",0,231382,Unreliable
,"Idaho","16","25-34 years","25-34","2019","2019",Suppressed,236490,Suppressed
,"Idaho","16","25-34 years","25-34","2020","2020",Suppressed,241578,Suppressed
,"Idaho","16","25-34 years","25-34","2021","2021",Suppressed,248864,Suppressed
,"Idaho","16","25-34 years","25-34","2022","2022",Suppressed,251203,Suppressed
