"Notes","Residence State","Residence State Code","Ten-Year Age Groups","Ten-Year Age Groups Code","Year","Year Code",Deaths,Population,Crude Rate
,"Colorado","08","1-4 years","1-4","2022","2022",0,246153,Unreliable
,"Colorado","08","1-4 years","1-4","2023","2023",0,246791,Unreliable
,"Colorado","08","1-4 years","1-4","2024 (provisional)","2024",0,246791,Unreliable
,"Colorado","08","1-4 years","1-4","2025 (provisional and partial)","2025",0,246791,Unreliable
,"Colorado","08","5-14 years","5-14","2018","2018",0,713331,Unreliable
,"Colorado","08","5-14 years","5-14","2019","2019",0,710322,Unreliable
,"Colorado","08","5-14 years","5-14","2020","2020",0,706276,Unreliable
,"Colorado","08","5-14 years","5-14","2021","2021",0,706487,Unreliable
,"Colorado","08","5-14 years","5-14","2022","2022",0,685113,Unreliable
,"Colorado","08","5-14 years","5-14","2023","2023",0,680999,Unreliable
,"Colorado","08","5-14 years","5-14","2024 (provisional)","2024",0,680999,Unreliable
,"Colorado","08","5-14 years","5-14","2025 (provisional and partial)","2025",0,680999,Unreliable
,"Colorado","08","15-24 years","15-24","2018","2018",Suppressed,741878,Suppressed
,"Colorado","08","15-24 years","15-24","2019","2019",0,743213,Unreliable
,"Colorado","08","15-24 years","15-24","2020","2020",0,746655,Unreliable
,"Colorado","08","15-24 years","15-24","2021","2021",Suppressed,751845,Suppressed
,"Colorado","08","15-24 years","15-24","2022","2022",Suppressed,775499,Suppressed
,"Colorado","08","15-24 years","15-24","2023","2023",Suppressed,765256,Suppressed
,"Colorado","08","15-24 years","15-24","2024 (provisional)","2024",0,765256,Unreliable
,"Colorado","08","15-24 years","15-24","2025 (provisional and partial)","2025",0,765256,Unreliable
,"Colorado","08","25-34 years","25-34","2018","2018",Suppressed,894422,Suppressed
,"Colorado","08","25-34 years","25-34","2019","2019",Suppressed,913354,Suppressed
,"Colorado","08","25-34 years","25-34","2020","2020",Suppressed,924010,Suppressed
,"Colorado","08","25-34 years","25-34","2021","2021",Suppressed,908724,Suppressed
,"Colorado","08","25-34 years","25-34","2022","2022",Suppressed,915481,Suppressed
,"Colorado","08","25-34 years","25-34","2023","2023",Suppressed,924103,Suppressed
,"Colorado","08","25-34 years","25-34","2024 (provisional)","2024",Suppressed,924103,Suppressed
,"Colorado","08","25-34 years","25-34","2025 (provisional and partial)","2025",0,924103,Unreliable
,"Colorado","08","35-44 years","35-44","2018","2018",Suppressed,780079,Suppressed
,"Colorado","08","35-44 years","35-44","2019","2019",Suppressed,798071,Suppressed
,"Colorado","08","35-44 years","35-44","2020","2020",Suppressed,816118,Suppressed
,"Colorado","08","35-44 years","35-44","2021","2021",Suppressed,839814,Suppressed
,"Colorado","08","35-44 years","35-44","2022","2022",Suppressed,847768,Suppressed
,"Colorado","08","35-44 years","35-44","2023","2023",Suppressed,864386,Suppressed
,"Colorado","08","35-44 years","35-44","2024 (provisional)","2024",Suppressed,864386,Suppressed
,"Colorado","08","35-44 years","35-44","2025 (provisional and partial)","2025",Suppressed,864386,Suppressed
,"Colorado","08","45-54 years","45-54","2018","2018",21,710171,2.957
,"Colorado","08","45-54 years","45-54","2019","2019",14,706150,Unreliable
,"Colorado","08","45-54 years","45-54","2020","2020",10,704945,Unreliable
,"Colorado","08","45-54 years","45-54","2021","2021",Suppressed,710167,Suppressed
,"Colorado","08","45-54 years","45-54","2022","2022",11,709151,Unreliable
,"Colorado","08","45-54 years","45-54","2023","2023",15,714267,Unreliable
,"Colorado","08","45-54 years","45-54","2024 (provisional)","2024",16,714267,Unreliable
,"Colorado","08","45-54 years","45-54","2025 (provisional and partial)","2025",Suppressed,714267,Suppressed
,"Colorado","08","55-64 years","55-64","2018","2018",25,710600,3.518
,"Colorado","08","55-64 years","55-64","2019","2019",19,713013,Unreliable
,"Colorado","08","55-64 years","55-64","2020","2020",21,708745,2.963
,"Colorado","08","55-64 years","55-64","2021","2021",19,702219,Unreliable
,"Colorado","08","55-64 years","55-64","2022","2022",25,683856,3.656
,"Colorado","08","55-64 years","55-64","2023","2023",24,676625,3.547
,"Colorado","08","55-64 years","55-64","2024 (provisional)","2024",25,676625,3.695
,"Colorado","08","55-64 years","55-64","2025 (provisional and partial)","2025",11,676625,Unreliable
,"Colorado","08","65-74 years","65-74","2018","2018",40,500798,7.987
,"Colorado","08","65-74 years","65-74","2019","2019",43,522131,8.235
,"Colorado","08","65-74 years","65-74","2020","2020",38,543363,6.993
,"Colorado","08","65-74 years","65-74","2021","2021",41,558844,7.337
,"Colorado","08","65-74 years","65-74","2022","2022",39,560039,6.964
,"Colorado","08","65-74 years","65-74","2023","2023",30,575044,5.217
,"Colorado","08","65-74 years","65-74","2024 (provisional)","2024",35,575044,6.086
,"Colorado","08","65-74 years","65-74","2025 (provisional and partial)","2025",21,575044,3.652
,"Colorado","08","75-84 years","75-84","2018","2018",34,219067,15.520
,"Colorado","08","75-84 years","75-84","2019","2019",34,230360,14.760
,"Colorado","08","75-84 years","75-84","2020","2020",33,241734,13.651
,"Colorado","08","75-84 years","75-84","2021","2021",39,239521,16.282
,"Colorado","08","75-84 years","75-84","2022","2022",29,264472,10.965
,"Colorado","08","75-84 years","75-84","2023","2023",36,281688,12.780
,"Colorado","08","75-84 years","75-84","2024 (provisional)","2024",40,281688,14.200
,"Colorado","08","75-84 years","75-84","2025 (provisional and partial)","2025",30,281688,10.650
,"Colorado","08","85+ years","85+","2018","2018",21,88364,23.765
,"Colorado","08","85+ years","85+","2019","2019",21,89921,23.354
,"Colorado","08","85+ years","85+","2020","2020",24,91290,26.290
,"Colorado","08","85+ years","85+","2021","2021",21,81288,25.834
,"Colorado","08","85+ years","85+","2022","2022",23,89527,25.691
,"Colorado","08","85+ years","85+","2023","2023",19,86283,Unreliable
,"Colorado","08","85+ years","85+","2024 (provisional)","2024",24,86283,27.815
,"Colorado","08","85+ years","85+","2025 (provisional and partial)","2025",11,86283,Unreliable
,"Colorado","08","Not Stated","NS","2018","2018",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2019","2019",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2020","2020",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2021","2021",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2022","2022",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2023","2023",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2024 (provisional)","2024",0,Not Applicable,Not Applicable
,"Colorado","08","Not Stated","NS","2025 (provisional and partial)","2025",0,Not Applicable,Not Applicable
,"Idaho","16","< 1 year","1","2018","2018",0,22348,Unreliable
,"Idaho","16","< 1 year","1","2019","2019",0,22106,Unreliable
,"Idaho","16","< 1 year","1","2020","2020",0,21547,Unreliable
,"Idaho","16","< 1 year","1","2021","2021",0,21203,Unreliable
,"Idaho","16","< 1 year","1","2022","2022",0,22368,Unreliable
,"Idaho","16","< 1 year","1","2023","2023",0,22331,Unreliable
,"Idaho","16","< 1 year","1","2024 (provisional)","2024",0,22331,Unreliable
,"Idaho","16","< 1 year","1","2025 (provisional and partial)","2025",0,22331,Unreliable
,"Idaho","16","1-4 years","1-4","2018","2018",0,93991,Unreliable
,"Idaho","16","1-4 years","1-4","2019","2019",0,94094,Unreliable
,"Idaho","16","1-4 years","1-4","2020","2020",0,92301,Unreliable
,"Idaho","16","1-4 years","1-4","2021","2021",0,93121,Unreliable
,"Idaho","16","1-4 years","1-4","2022","2022",0,90915,Unreliable
,"Idaho","16","1-4 years","1-4","2023","2023",0,91052,Unreliable
,"Idaho","16","1-4 years","1-4","2024 (provisional)","2024",0,91052,Unreliable
,"Idaho","16","1-4 years","1-4","2025 (provisional and partial)","2025",0,91052,Unreliable
,"Idaho","16","5-14 years","5-14","2018","2018",0,254001,Unreliable
,"Idaho","16","5-14 years","5-14","2019","2019",0,254788,Unreliable
,"Idaho","16","5-14 years","5-14","2020","2020",0,257827,Unreliable
,"Idaho","16","5-14 years","5-14","2021","2021",0,269948,Unreliable
,"Idaho","16","5-14 years","5-14","2022","2022",0,264735,Unreliable
